KODE|NAMA|
001|TEKNIK KOMPUTER DAN INFORMATIKA
002|TEKNIK TELEKOMUNIKASI
003|TEKNIK BROADCASTING
004|TATA BUSANA
005|TATA KECANTIKAN
006|KEPARIWISATA
007|TATA BOGA
008|KEUANGAN
009|ADMINISTRASI
010|TATA NIAGA
011|TEKNIK OTOMOTIF
012|TEKNOLOGI TEKSTIL
013|TEKNIK KETENAGALISTRIKAN
014|TEKNIK BANGUNAN
015|TEKNIK GRAFIKA
016|AGRIBISNIS PRODUK TERNAK
017|AGRIBISNIS PRODUKSI TANAMAN
018|AGRIBISNIS PENGELOLAAN HASIL PERTANIAN DAN PERIKANAN
0081|SENI RUPA
0082|DESAIN DAN PRODUKSI KARYA
0091|KEPERAWATAN
0092|KEFARMASIAN
0093|PEKERJAAN SOSIAL
00101|SENI TEATER
00102|SENI TARI
00103|SENI PEDALANGAN
00104|SENI MUSIK
00105|SENI KARAWITAN